company,year,tipo,region,actual_ton
HAYDUK,2022,T2,Todas,87895.0
HAYDUK,2023,T1,Todas,6825.0
HAYDUK,2023,T2,Todas,99800.0
HAYDUK,2024,T1,Todas,348873.6295714
HAYDUK,2024,T2,Todas,108841.504158
HAYDUK,2025,T1,Todas,168252.5758051
HAYDUK,2025,T2,Todas,69743.0
PESQUERA CENTINELA S.A.C,2015,T2,Todas,21042.0
PESQUERA CENTINELA S.A.C,2016,T1,Todas,16245.0
PESQUERA CENTINELA S.A.C,2017,T1,Todas,225.0
PESQUERA CENTINELA S.A.C,2018,T1,Todas,86670.0
PESQUERA CENTINELA S.A.C,2018,T2,Todas,49160.0
PESQUERA CENTINELA S.A.C,2019,T1,Todas,47520.0
PESQUERA CENTINELA S.A.C,2019,T2,Todas,26417.0
PESQUERA CENTINELA S.A.C,2020,T1,Todas,59595.0
PESQUERA CENTINELA S.A.C,2020,T2,Todas,47935.0
PESQUERA CENTINELA S.A.C,2021,T1,Todas,66875.0
PESQUERA CENTINELA S.A.C,2021,T2,Todas,53150.0
PESQUERA CENTINELA S.A.C,2022,T1,Todas,66401.0
PESQUERA CENTINELA S.A.C,2022,T2,Todas,28441.0
PESQUERA CENTINELA S.A.C,2023,T2,Todas,48446.0
PESQUERA CENTINELA S.A.C,2024,T1,Todas,135976.1581734
PESQUERA CENTINELA S.A.C,2024,T2,Todas,60116.319818
PESQUERA CENTINELA S.A.C,2025,T2,Todas,126491.0
PESQUERA DIAMANTE S.A.,2015,T2,Todas,74040.0
PESQUERA DIAMANTE S.A.,2016,T1,Todas,84915.0
PESQUERA DIAMANTE S.A.,2016,T2,Todas,112467.0
PESQUERA DIAMANTE S.A.,2017,T1,Todas,217052.0
PESQUERA DIAMANTE S.A.,2017,T2,Todas,590.0
PESQUERA DIAMANTE S.A.,2018,T1,Todas,288155.0
PESQUERA DIAMANTE S.A.,2018,T2,Todas,181865.0
PESQUERA DIAMANTE S.A.,2019,T1,Todas,184403.0
PESQUERA DIAMANTE S.A.,2019,T2,Todas,61990.0
PESQUERA DIAMANTE S.A.,2020,T1,Todas,184065.0
PESQUERA DIAMANTE S.A.,2020,T2,Todas,135850.0
PESQUERA DIAMANTE S.A.,2021,T1,Todas,159605.0
PESQUERA DIAMANTE S.A.,2021,T2,Todas,156840.0
PESQUERA DIAMANTE S.A.,2022,T1,Todas,190875.0
PESQUERA DIAMANTE S.A.,2022,T2,Todas,108810.0
